number,value,params_batch_size,params_dropout,params_finetune_epochs,params_freeze_epochs,params_label_smoothing,params_lr,params_optimizer,params_weight_decay,state
0,1.0,16,0.3726753363320149,5,2,0.11283345642709426,0.0002710364225466581,adamw,1.296013562349762e-05,COMPLETE
1,1.0,48,0.36362549386112303,9,3,0.12895343880717153,0.00012123955323904589,adamw,1.4966963923253605e-05,COMPLETE
2,0.9334415584415584,32,0.4418787497336439,7,2,0.10033664013113207,0.0006639719866069782,sgd,0.00031526447103124666,COMPLETE
3,1.0,16,0.3140750892582645,8,2,0.07006305694138916,0.0029891222307039237,sgd,0.00011509488762893641,COMPLETE
4,0.9983766233766234,16,0.26594485550646635,8,3,0.10077115111983463,0.0020744720420280685,sgd,2.364641026863918e-06,COMPLETE
5,1.0,48,0.2572417861837941,6,4,0.10919016098499305,0.0008271166223643287,adamw,2.157096714930896e-05,COMPLETE
6,1.0,32,0.3027680221684173,10,3,0.07993905788213919,0.0009131058848831236,adamw,0.0001829278902144909,COMPLETE
7,0.7483766233766234,48,0.36634586865353547,9,1,0.04943449179468334,0.00022531119467109577,sgd,2.4005888719882772e-05,PRUNED
8,0.8457792207792207,16,0.38608336167544566,4,2,0.12041516413860831,0.0003394366444439898,sgd,1.0200716327858657e-06,PRUNED
9,0.875,32,0.44312538114522604,5,4,0.005393367287885015,0.001562238318703987,sgd,5.0817606904503905e-05,PRUNED
10,0.8409090909090909,16,0.20273422529016147,4,1,0.13951945545103897,0.0001110481195239554,adamw,5.161597994895313e-06,PRUNED
11,0.7954545454545454,48,0.39683606206353594,6,3,0.14301855210570547,0.00010645481637182747,adamw,6.931387449513818e-06,PRUNED
